Cincinnati,Edinson Volquez
Cincinnati,Bill Bray
Cincinnati,Nick Masset
Cincinnati,Francisco Cordero
Cincinnati,Juan Francisco
Cincinnati,Todd Frazier
Cincinnati,Yonder Alonso
Cincinnati,Dave Sappelt
Cincinnati,Travis Wood
Cincinnati,Dontrelle Willis
Cincinnati,Logan Ondrusek
Cincinnati,Aroldis Chapman
Cincinnati,Jose Arredondo
Cincinnati,Sam LeCure
Cleveland,Michael Brantley
Cleveland,Asdrubal Cabrera
Cleveland,Shin-Soo Choo
Cleveland,Carlos Santana
Cleveland,Travis Hafner
Cleveland,Kosuke Fukudome
Cleveland,Grady Sizemore
Cleveland,Jason Donald
Cleveland,Matt LaPorta
Cleveland,Lou Marson
Cleveland,Jack Hannahan
Cleveland,Jason Kipnis
Cleveland,Justin Masterson
Cleveland,Ubaldo Jimenez
Cleveland,Fausto Carmona
Cleveland,Josh Tomlin
Cleveland,Carlos Carrasco
Cleveland,Joe Smith
Cleveland,Rafael Perez
Cleveland,Chris Perez
Cleveland,Lonnie Chisenhall
Cleveland,Jim Thome
Cleveland,Shelley Duncan
Cleveland,Ezequiel Carrera
Cleveland,Travis Buck
Cleveland,Mitch Talbot
Cleveland,Tony Sipp
Cleveland,Vinnie Pestano
Cleveland,Chad Durbin
Cleveland,Frank Herrmann
Colorado,Dexter Fowler
Colorado,Mark Ellis
Colorado,Jonathan Herrera
Colorado,Carlos Gonzalez
Colorado,Troy Tulowitzki
Colorado,Todd Helton
Colorado,Seth Smith
Colorado,Ryan Spilborghs
Colorado,Ty Wigginton
Colorado,Kevin Kouzmanoff
Colorado,Chris Iannetta
Colorado,Eliezer Alfonzo
Colorado,Jhoulys Chacin
Colorado,Jason Hammel
Colorado,Aaron Cook
Colorado,Esmil Rogers
Colorado,Matt Belisle
Colorado,Matt Reynolds
Colorado,Rafael Betancourt
Colorado,Huston Street
Colorado,Jose Morales
Colorado,Jason Giambi
Colorado,Chris Nelson
Colorado,Ian Stewart
Colorado,Eric Young, Jr.
Colorado,Juan Nicasio
Colorado,Jorge De La Rosa
Colorado,Matt Lindstrom
Colorado,Rex Brothers
Colorado,J.C. Romero
Detroit,Austin Jackson
Detroit,Brennan Boesch
Detroit,Magglio Ordonez
Detroit,Delmon Young
Detroit,Miguel Cabrera
Detroit,Victor Martinez
Detroit,Alex Avila
Detroit,Jhonny Peralta
Detroit,Ryan Raburn
Detroit,Ramon Santiago
Detroit,Wilson Betemit
Detroit,Brandon Inge
Detroit,Justin Verlander
Detroit,Max Scherzer
Detroit,Doug Fister
Detroit,Rick Porcello
Detroit,Brad Penny
Detroit,Jose Valverde
Detroit,Joaquin Benoit
Detroit,David Pauley
Detroit,Don Kelly
Detroit,Carlos Guillen
Detroit,Will Rhymes
Detroit,Andy Dirks
Detroit,Daniel Schlereth
Detroit,Phil Coke
Detroit,Al Alburquerque
Detroit,Ryan Perry
Detroit,David Purcey
Detroit,Brayan Villarreal
Florida,Emilio Bonifacio
Florida,Omar Infante
Florida,Greg Dobbs
Florida,Hanley Ramirez
Florida,Gaby Sanchez
Florida,Logan Morrison
Florida,Mike Stanton
Florida,Mike Cameron
Florida,Jose Lopez
Florida,John Buck
Florida,Brett Hayes
Florida,Chris Coghlan
Florida,Ricky Nolasco
Florida,Anibal Sanchez
Florida,Javier Vazquez
Florida,Chris Volstad
Florida,Michael Dunn
Florida,Leo Nunez
Florida,Edward Mujica
Florida,Clay Hensley
Florida,Wes Helms
Florida,Alfredo Amezaga
Florida,Bryan Petersen
Florida,Brad Hand
Florida,Josh Johnson
Florida,Randy Choate
Florida,Ryan Webb
Florida,Burke Badenhop
Florida,Steve Cishek
Florida,Brian Sanches
Houston,Jordan Schafer
Houston,Jason Bourgeois
Houston,Jose Altuve
Houston,Angel Sanchez
Houston,Brian Bogusevic
Houston,Carlos Lee
Houston,Brett Wallace
Houston,Chris Johnson
Houston,Clint Barmes
Houston,Humberto Quintero
Houston,Carlos Corporan
Houston,J.D. Martinez
Houston,Brett Myers
Houston,Bud Norris
Houston,Wandy Rodriguez
Houston,J. A. Happ
Houston,Jordan Lyles
Houston,Wilton Lopez
Houston,Mark Melancon
Houston,Sergio Escalona
Houston,J. R. Towles
Houston,Matt Downs
Houston,Jimmy Paredes
Houston,Jason Michaels
Houston,Henry Sosa
Houston,Enerio Del Rosario
Houston,Fernando Rodriguez
Houston,Aneury Rodriguez
Houston,David Carpenter
Houston,Fernando Abad
Kansas City,Alex Gordon
Kansas City,Melky Cabrera
Kansas City,Billy Butler
Kansas City,Eric Hosmer
Kansas City,Jeff Francoeur
Kansas City,Mike Moustakas
Kansas City,Brayan Pena
Kansas City,Salvador Perez
Kansas City,Chris Getz
Kansas City,Alcides Escobar
Kansas City,Johnny Giavotella
Kansas City,Mitch Maier
Kansas City,Luke Hochevar
Kansas City,Jeff Francis
Kansas City,Bruce Chen
Kansas City,Danny Duffy
Kansas City,Felipe Paulino
Kansas City,Tim Collins
Kansas City,Joakim Soria
Kansas City,Aaron Crow
Kansas City,Kila Ka'aihue
Kansas City,Yamaico Navarro
Kansas City,Jarrod Dyson
Kansas City,Kyle Davies
Kansas City,Sean O'Sullivan
Kansas City,Blake Wood
Kansas City,Louis Coleman
Kansas City,Greg Holland
Kansas City,Everett Teaford
Kansas City,Nate Adcock
LA Angels,Erick Aybar
LA Angels,Howie Kendrick
LA Angels,Bobby Abreu
LA Angels,Torii Hunter
LA Angels,Vernon Wells
LA Angels,Alberto Callaspo
LA Angels,Mark Trumbo
LA Angels,Peter Bourjos
LA Angels,Jeff Mathis
LA Angels,Hank Conger
LA Angels,Maicer Izturis
LA Angels,Mike Trout
LA Angels,Dan Haren
LA Angels,Jered Weaver
LA Angels,Ervin Santana
LA Angels,Tyler Chatwood
LA Angels,Joel Pineiro
LA Angels,Jordan Walden
LA Angels,Hisanori Takahashi
LA Angels,Scott Downs
LA Angels,Bobby Wilson
LA Angels,Russell Branyan
LA Angels,Alexi Amarista
LA Angels,Jerome Williams
LA Angels,Rich Thompson
LA Angels,Fernando Rodney
LA Angels,Bobby Cassevah
LA Angels,Trevor Bell
LA Angels,Kevin Jepsen
LA Angels,Michael Kohn
Los Angeles,Tony Gwynn, Jr.
Los Angeles,Dee Gordon
Los Angeles,Aaron Miles
Los Angeles,Casey Blake
Los Angeles,Andre Ethier
Los Angeles,Matt Kemp
Los Angeles,Juan Uribe
Los Angeles,Juan Rivera
Los Angeles,James Loney
Los Angeles,Rod Barajas
Los Angeles,Dioner Navarro
Los Angeles,Jamey Carroll
Los Angeles,Clayton Kershaw
Los Angeles,Ted Lilly
Los Angeles,Hiroki Kuroda
Los Angeles,Chad Billingsley
Los Angeles,Matt Guerrier
Los Angeles,Mike MacDougal
Los Angeles,Kenley Jansen
Los Angeles,Javy Guerra
Los Angeles,A. J. Ellis
Los Angeles,Justin Sellers
Los Angeles,Jerry Sands
Los Angeles,Rubby De La Rosa
Los Angeles,Jon Garland
Los Angeles,Nate Eovaldi
Los Angeles,Blake Hawksworth
Los Angeles,Scott Elbert
Los Angeles,Hong-Chih Kuo
Los Angeles,Josh Lindblom
Milwaukee,Rickie Weeks
Milwaukee,Nyjer Morgan
Milwaukee,Carlos Gomez
Milwaukee,Ryan Braun
Milwaukee,Prince Fielder
Milwaukee,Casey McGehee
Milwaukee,Cory Hart
Milwaukee,Yuniesky Betancourt
Milwaukee,Jonathan Lucroy
Milwaukee,George Kottaras
Milwaukee,Jerry Hairston
Milwaukee,Mark Kotsay
Milwaukee,Randy Wolf
Milwaukee,Yovani Gallardo
Milwaukee,Shaun Marcum
Milwaukee,Zack Greinke
Milwaukee,Chris Narveson
Milwaukee,John Axford
Milwaukee,Kameron Loe
Milwaukee,Francisco Rodriguez
Milwaukee,Wil Nieves
Milwaukee,Felipe Lopez
Milwaukee,Craig Counsell
Milwaukee,Josh Wilson
Milwaukee,LaTroy Hawkins
Milwaukee,Marco Estrada
Milwaukee,Takashi Saito
Milwaukee,Zach Braddock
Milwaukee,Tim Dillard
Milwaukee,Mitch Stetter
Minnesota,Ben Revere
Minnesota,Denard Span
Minnesota,Alexi Casilla
Minnesota,Joe Mauer
Minnesota,Michael Cuddyer
Minnesota,Jason Kubel
Minnesota,Danny Valencia
Minnesota,Justin Morneau
Minnesota,Luke Hughes
Minnesota,Trevor Plouffe
Minnesota,Tsuyoshi Nishioka
Minnesota,Drew Butera
Minnesota,Carl Pavano
Minnesota,Brian Duensing
Minnesota,Nick Blackburn
Minnesota,Francisco Liriano
Minnesota,Scott Baker
Minnesota,Matt Capps
Minnesota,Alex Burnett
Minnesota,Glen Perkins
Minnesota,Rene Rivera
Minnesota,Chris Parmelee
Minnesota,Matt Tolbert
Minnesota,Brian Dinkelman
